K_features,n_used,model,variant,OOF_AUQC,overall_uplift_all,Uplift10,Saved10,Uplift30,Saved30,n_pos(score>0),n_guard(score>0.005)
20,20,B_boost_tlearner,CHURN_INTENSITY=0.6,-0.04106356217876215,0.03815227855099054,0.0572006862229989,57.2006862229989,0.03951487992418404,118.54463977255212,6702,5901
40,40,A_logreg_tlearner,CHURN_INTENSITY=1.0,-0.041542636765168534,0.037940703995713615,0.06405364917090312,64.05364917090311,0.027926002692248236,83.77800807674471,7367,6804
40,40,C_mlp_twohead,CHURN_INTENSITY=1.2,-0.04308044761432277,0.037940703995713615,0.03666721373072129,36.66721373072129,0.032225574624434455,96.67672387330336,8570,7875
100,99,A_logreg_tlearner,RAND,-0.043128791519518615,0.038529604438258175,0.024812761834567487,24.81276183456749,0.023191944577067664,69.57583373120299,5054,5037
40,40,C_mlp_twohead,CHURN_INTENSITY=1.0,-0.046539917324515755,0.037940703995713615,0.047159114354807435,47.159114354807436,0.03217285044041868,96.51855132125603,8570,8030
40,40,A_logreg_tlearner,CHURN_INTENSITY=0.6,-0.04761073487460114,0.037940703995713615,0.0561718575004623,56.1718575004623,0.024076153360116648,72.22846008034995,7367,6970
100,99,C_mlp_twohead,CHURN_INTENSITY=0.2,-0.04798847806125167,0.038529604438258175,0.02040186958830223,20.40186958830223,0.03987114148927015,119.61342446781045,8385,8088
80,80,B_boost_tlearner,CHURN_INTENSITY=1.5,-0.04825353498334586,0.03841161798664036,0.020515429489651515,20.515429489651517,0.034395718136918524,103.18715441075557,6845,3874
80,80,B_boost_tlearner,CHURN_INTENSITY=1.2,-0.05041601489686784,0.03841161798664036,0.02077173275724109,20.77173275724109,0.03479627360463938,104.38882081391814,6845,4656
40,40,A_logreg_tlearner,CHURN_INTENSITY=0.2,-0.051903704946217405,0.037940703995713615,0.06060711414727646,60.607114147276455,0.029072777227414387,87.21833168224316,7367,7083
80,80,B_boost_tlearner,CHURN_INTENSITY=0.6,-0.0523479904928949,0.03841161798664036,0.01518336989947594,15.18336989947594,0.03194826719902294,95.84480159706882,6845,6026
80,80,B_boost_tlearner,CHURN_INTENSITY=1.0,-0.05242143957445978,0.03841161798664036,0.018511099884045257,18.511099884045258,0.03462991857308487,103.8897557192546,6845,5165
40,40,A_logreg_tlearner,BASE,-0.05350354360488383,0.037940703995713615,0.04286908902880732,42.869089028807316,0.03467094791639566,104.01284374918698,7367,7119
80,80,B_boost_tlearner,BASE,-0.054365043289948164,0.03841161798664036,0.019020868984378103,19.020868984378104,0.03332168863096449,99.96506589289348,6845,6651
100,99,C_mlp_twohead,BASE,-0.05469763681252886,0.038529604438258175,0.03122671872958946,31.226718729589457,0.035670319524594374,107.01095857378313,8385,8137
80,80,B_boost_tlearner,CHURN_INTENSITY=0.2,-0.055550795006703804,0.03841161798664036,0.024221592931393365,24.221592931393367,0.03389476045283116,101.68428135849348,6845,6538
20,20,B_boost_tlearner,CHURN_INTENSITY=1.0,-0.055842039004180714,0.03815227855099054,0.04212749319018588,42.12749319018588,0.032567754989060005,97.70326496718002,6702,5107
40,40,C_mlp_twohead,CHURN_INTENSITY=0.6,-0.05687006239479454,0.037940703995713615,0.03290009895417731,32.90009895417731,0.03996884871938175,119.90654615814525,8570,8219
20,20,B_boost_tlearner,CHURN_INTENSITY=1.2,-0.06075852765905124,0.03815227855099054,0.03991025024632355,39.91025024632356,0.03996536140362525,119.89608421087574,6702,4618
40,40,C_mlp_twohead,CHURN_INTENSITY=0.2,-0.06369173797473465,0.037940703995713615,0.04390090613556297,43.90090613556297,0.038706161597825056,116.11848479347516,8570,8336
40,40,C_mlp_twohead,BASE,-0.06771007212687057,0.037940703995713615,0.033185184418079716,33.185184418079714,0.03704825623510016,111.14476870530049,8570,8364
20,20,B_boost_tlearner,CHURN_INTENSITY=1.5,-0.06837241566920697,0.03815227855099054,0.03679704648455895,36.79704648455895,0.03762504063892305,112.87512191676916,6702,3842
20,20,A_logreg_tlearner,CHURN_INTENSITY=1.5,-0.07266119585020618,0.03815227855099054,0.026159675171143898,26.1596751711439,0.0314719983416924,94.4159950250772,8172,6960
40,40,B_boost_tlearner,RAND,-0.07314541109913324,0.037940703995713615,0.01215005710464806,12.15005710464806,0.0237775441843337,71.33263255300109,4904,4879
20,20,A_logreg_tlearner,CHURN_INTENSITY=1.2,-0.07891970235202272,0.03815227855099054,0.02175421490501639,21.75421490501639,0.03730427624694574,111.91282874083721,8172,7276
20,20,A_logreg_tlearner,CHURN_INTENSITY=1.0,-0.08336543856450274,0.03815227855099054,0.015583655989822226,15.583655989822226,0.02911187443071267,87.33562329213801,8172,7435
20,20,A_logreg_tlearner,CHURN_INTENSITY=0.6,-0.09296589487789317,0.03815227855099054,0.036299511252963546,36.29951125296355,0.03004870878967203,90.14612636901609,8172,7671
20,20,A_logreg_tlearner,CHURN_INTENSITY=0.2,-0.10046773627197891,0.03815227855099054,0.034771318032315895,34.7713180323159,0.021661393703646337,64.984181110939,8172,7803
100,99,B_boost_tlearner,RAND,-0.10397611959566072,0.038529604438258175,0.019200716677229446,19.200716677229444,0.03282173488282608,98.46520464847825,4989,4975
20,20,A_logreg_tlearner,BASE,-0.10403277998695647,0.03815227855099054,0.025079722098891394,25.079722098891395,0.02439614175468094,73.18842526404282,8172,7843
